"| id | text                                                                     | label         |"
"| -- | ------------------------------------------------------------------------ | ------------- |"
"| 1  | AI is used in healthcare to analyze medical images and assist doctors.   | Applications  |"
"| 2  | Researchers warn that AI can spread misinformation if not regulated.     | Risks         |"
"| 3  | Using AI to monitor employees raises questions about privacy rights.     | Ethics        |"
"| 4  | Experts believe AI will revolutionize transportation in the next decade. | Future Trends |"
"| 5  | Chatbots powered by AI are transforming customer service.                | Applications  |"
"| 6  | Deepfake technology can be misused for fraud and scams.                  | Risks         |"
"| 7  | Governments debate how to regulate AI fairly across industries.          | Ethics        |"
"| 8  | AI is expected to accelerate scientific discoveries in physics.          | Future Trends |"
"| 9  | AI tools are helping farmers monitor crop health and improve yield.      | Applications  |"
"| 10 | Some fear AI will replace many human jobs in the near future.            | Risks         |"
"| 11 | AI can assist teachers in personalizing student learning plans.          | Applications  |"
"| 12 | Bias in AI systems can lead to unfair hiring practices.                  | Risks         |"
"| 13 | AI-driven surveillance raises concerns about mass monitoring.            | Ethics        |"
"| 14 | Future AI may enable fully autonomous factories.                         | Future Trends |"
"| 15 | AI is improving fraud detection in banking systems.                      | Applications  |"
"| 16 | Malicious actors could weaponize AI in cyberattacks.                     | Risks         |"
"| 17 | Ethical frameworks are needed to guide AI in medicine.                   | Ethics        |"
"| 18 | AI will play a key role in developing smart cities.                      | Future Trends |"
"| 19 | AI algorithms help e-commerce platforms recommend products.              | Applications  |"
"| 20 | Job displacement due to AI is a growing societal concern.                | Risks         |"
"| 21 | AI enhances logistics by optimizing delivery routes.                     | Applications  |"
"| 22 | AI hallucinations in chatbots risk misleading users.                     | Risks         |"
"| 23 | Questions arise about who is accountable for AI-driven mistakes.         | Ethics        |"
"| 24 | AI will shape the development of next-generation robotics.               | Future Trends |"
"| 25 | AI improves renewable energy management through smart grids.             | Applications  |"
"| 26 | Lack of transparency in AI models threatens trust in technology.         | Risks         |"
"| 27 | Ethical debates continue about AI decision-making in warfare.            | Ethics        |"
"| 28 | AI will advance space exploration through autonomous rovers.             | Future Trends |"
"| 29 | AI language models support multilingual communication globally.          | Applications  |"
"| 30 | Facial recognition AI can be abused for unlawful surveillance.           | Risks         |"
"| 31 | AI can detect diseases early from genetic data analysis.                 | Applications  |"
"| 32 | Unregulated AI use in finance could destabilize markets.                 | Risks         |"
"| 33 | AI raises concerns over data privacy and user consent.                   | Ethics        |"
"| 34 | AI may create new jobs in fields like prompt engineering.                | Future Trends |"
"| 35 | AI supports creative industries by generating music and art.             | Applications  |"
"| 36 | The rise of autonomous vehicles powered by AI seems inevitable.          | Future Trends |"
"| 37 | Overreliance on AI could weaken human critical thinking skills.          | Risks         |"
"| 38 | Legal experts discuss liability for harm caused by AI systems.           | Ethics        |"
"| 39 | AI promises breakthroughs in personalized cancer treatments.             | Applications  |"
"| 40 | AI assistants will likely become integrated into daily life.             | Future Trends |"
"| 41 | AI-powered virtual reality creates immersive training environments.      | Applications  |"
"| 42 | Algorithmic trading could trigger unexpected market crashes.             | Risks         |"
"| 43 | Should AI systems have the right to make life-or-death decisions?        | Ethics        |"
"| 44 | Quantum computing will exponentially enhance AI capabilities.            | Future Trends |"
"| 45 | AI helps meteorologists predict weather patterns more accurately.        | Applications  |"
